MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_DeepCast_200m_m2_046	1.57	5.14	5.73	11.10	9.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	16.44	5.88	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_186	2.55	5.10	3.19	2.51	3.62	1.25	11.29	1.43	0.32	17.52	0.66	22.80	0.42	3.59	2.74	3.69	1.28	13.37	8.46	0.35	0.37	0.25	0.63	0.68
K_Offshore_0m_m1_055	6.06	5.06	5.23	6.67	3.06	5.04	3.06	11.19	10.76	0.14	7.41	0.19	8.66	4.28	2.34	2.08	3.28	1.55	0.83	2.26	0.30	2.57	1.43	0.56
K_DeepCast_250m_m1_047	3.43	5.03	4.12	5.46	5.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	6.11	6.04	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_mx_094	5.65	5.00	4.90	5.04	3.30	10.19	7.88	9.01	2.81	12.39	6.36	2.54	6.88	13.68	5.20	7.18	12.11	20.99	9.26	12.69	11.11	11.33	11.39	14.69
M_surface_10_m2_141	3.60	4.99	3.55	4.37	3.35	7.70	3.07	11.49	6.11	0.28	7.55	0.40	5.42	7.47	3.69	6.38	8.59	3.47	2.98	10.91	4.00	6.26	8.92	7.97
K_DeepCast_65m_m1_133	2.23	4.97	3.85	2.94	2.73	0.27	21.74	0.04	0.02	34.66	0.08	21.37	0.02	3.83	4.34	4.58	0.60	25.09	9.28	0.01	0.02	0.01	0.05	0.02
K_Offshore_40m_mx_120	4.23	4.95	4.26	5.04	3.25	7.70	2.99	13.38	11.55	0.55	12.14	1.12	11.66	6.59	2.72	4.31	6.34	2.51	1.81	8.41	4.42	7.65	7.69	6.68
K_Offshore_40m_mx_227	6.33	4.92	4.86	4.84	3.55	11.68	9.68	10.29	5.10	12.86	11.54	11.87	8.25	9.12	5.38	6.18	7.30	10.85	5.58	10.89	19.31	10.14	10.97	11.73
K_DeepCast_35m_m1_047	7.23	4.87	5.43	7.78	3.78	13.12	3.71	17.78	4.77	0.47	8.05	1.68	7.40	9.21	3.29	7.49	9.09	3.55	2.36	12.52	9.41	11.72	16.84	11.80
M_DeepCast_65m_mx_133	27.02	4.83	9.11	2.98	5.49	0.33	1.75	0.39	0.33	2.99	0.44	0.99	0.38	8.79	5.42	4.53	0.26	0.85	49.31	0.44	0.42	0.95	0.48	0.34
K_DeepCast_65m_m2_035	8.37	4.83	6.14	2.81	4.06	0.14	19.70	0.06	0.09	16.38	0.16	15.44	0.12	4.40	5.62	3.15	0.17	9.25	12.16	0.04	0.04	0.08	0.05	0.03
M_DeepCast_200m_m2_194	3.46	4.76	7.45	7.26	7.39	0.01	0.02	0.01	0.00	0.01	0.01	0.01	0.01	0.78	13.91	8.80	0.01	0.01	0.06	0.01	0.01	0.01	0.01	0.01
M_DeepCast_50m_m2_054	3.28	4.75	2.63	1.82	2.86	0.08	15.28	0.06	0.03	14.27	0.08	6.70	0.06	2.75	1.92	3.46	0.17	17.41	12.36	0.06	0.06	0.07	0.07	0.06
K_DeepCast_65m_m2_251	2.39	4.75	3.06	2.26	2.71	1.32	17.55	1.14	0.50	25.60	0.61	20.41	0.54	5.48	5.22	5.57	3.25	16.00	6.18	0.59	0.46	0.33	1.15	0.98
M_DeepCast_400m_m2_252	3.49	4.72	3.92	4.75	4.76	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.81	5.33	5.81	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_m2_176	5.09	4.67	3.30	3.93	2.99	10.27	3.72	10.88	21.36	0.39	24.28	0.59	31.34	6.28	4.03	3.94	5.70	2.34	2.02	4.87	3.22	5.09	7.11	5.93
M_DeepCast_65m_m2_016	7.52	4.66	5.58	2.94	5.44	0.51	7.95	0.31	0.09	10.76	0.25	11.43	0.40	4.09	5.67	4.73	0.49	11.85	13.24	0.15	0.14	0.09	0.22	0.24
K_DeepCast_150m_m1_356	34.99	4.64	21.20	4.68	6.40	0.03	0.06	0.03	0.02	0.02	0.02	0.01	0.03	5.60	3.75	1.89	0.02	0.02	0.20	0.05	0.04	0.11	0.04	0.03
M_DeepCast_100m_m2_149	3.68	4.64	3.70	4.24	2.95	7.01	3.45	9.78	1.19	3.47	1.59	6.87	1.13	13.22	8.82	11.19	13.20	6.64	6.50	3.60	1.30	2.17	6.55	3.25
K_Offshore_surface_m2_092	5.05	4.62	3.70	4.08	3.11	11.85	2.82	16.56	15.09	0.14	17.19	0.19	17.54	7.24	3.78	3.62	6.75	2.23	1.71	8.14	4.02	8.41	7.18	7.38
K_DeepCast_65m_m2_213	6.10	4.60	4.74	2.35	3.55	0.16	19.40	0.05	0.06	15.86	0.11	11.39	0.15	2.39	4.73	2.37	0.14	12.52	9.41	0.06	0.05	0.07	0.05	0.04
K_Offshore_40m_m2_239	6.15	4.60	4.54	4.88	3.15	11.44	4.59	11.31	19.46	0.99	19.44	0.95	16.85	7.60	5.77	6.16	6.30	3.01	2.67	6.96	4.24	6.12	8.32	7.98
K_DeepCast_35m_m1_037	5.87	4.59	3.76	4.69	3.07	12.03	3.83	12.94	1.29	1.67	2.09	1.25	2.25	1.27	1.06	0.70	1.00	1.14	0.49	1.60	2.76	1.56	1.94	2.74
K_DeepCast_250m_m2_119	1.83	4.55	4.48	8.85	6.89	0.00	0.06	0.00	0.00	0.07	0.00	0.15	0.00	0.57	9.56	7.19	0.01	0.05	0.22	0.01	0.01	0.02	0.01	0.00
M_DeepCast_400m_m1_102	0.49	4.55	1.19	8.82	9.17	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.14	7.55	12.16	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_066	0.99	4.54	1.95	1.03	3.15	0.05	9.71	0.00	0.00	7.52	0.02	8.31	0.00	2.10	1.96	1.62	0.19	11.71	2.84	0.00	0.01	0.00	0.01	0.00
M_DeepCast_400m_m1_356	0.37	4.53	0.74	3.95	6.16	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.09	2.67	9.93	0.00	0.01	0.02	0.00	0.00	0.01	0.00	0.00
K_DeepCast_100m_m1_307	58.29	4.49	12.84	8.17	8.76	0.00	0.06	0.00	0.00	0.02	0.00	0.01	0.00	17.89	14.05	7.70	0.00	0.01	0.47	0.00	0.01	0.02	0.00	0.00
M_DeepCast_50m_m2_187	2.28	4.46	3.19	2.55	2.58	0.03	17.02	0.01	0.00	35.17	0.02	10.23	0.01	4.65	3.79	5.40	0.22	32.95	8.85	0.02	0.03	0.02	0.01	0.02
M_DeepCast_50m_m2_137	3.70	4.44	4.12	2.75	2.76	0.17	16.13	0.15	0.12	15.89	0.17	11.96	0.12	4.81	5.84	4.68	0.35	22.36	11.86	0.11	0.06	0.16	0.14	0.08
K_Offshore_40m_m1_259	4.00	4.43	3.53	4.14	3.15	6.45	4.52	9.41	7.03	4.17	9.77	7.46	7.66	7.53	3.90	6.35	7.19	5.88	4.69	6.51	3.57	4.69	6.78	6.16
M_surface_7_m1_048	7.24	4.43	5.24	5.48	3.16	9.23	4.57	13.74	11.91	0.46	16.34	1.24	13.50	6.16	2.98	4.26	7.39	3.38	2.71	11.67	10.47	11.01	17.78	14.35
M_DeepCast_400m_m2_340	0.14	4.36	0.33	3.61	5.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	2.42	8.90	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
K_DeepCast_250m_mx_298	1.46	4.36	2.87	8.21	7.21	0.01	0.00	0.00	0.00	0.00	0.24	0.11	0.05	0.39	6.99	9.61	0.13	0.04	0.14	0.03	0.02	0.10	0.09	0.06
K_Offshore_80m_m2_162	2.94	4.34	3.20	2.26	3.37	0.60	10.98	0.67	0.26	15.76	0.45	23.46	0.29	3.07	2.75	3.25	0.80	12.40	8.40	0.33	0.25	0.28	0.44	0.41
M_surface_10_m2_213	5.06	4.32	3.99	4.57	3.38	6.93	6.42	7.80	8.07	6.70	8.51	8.12	7.42	14.92	10.83	13.19	13.16	8.94	6.41	23.51	5.23	21.04	29.88	11.02
