MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
K_Offshore_surface_m2_010	Actinobacteria acIV-C	Bacteria	1.5	1.21	1.05	1.7	1.85	0.95	1.49	0.97	1.2	1.93	1.3	0.97	1.2	1.93	1.3	0.36	0.27	1.06	1.46	0.89	1.13	0.14	0.64	1.42	15.14	6.03	6.74	96.58	55
K_Offshore_40m_m2_105	Actinobacteria acIV-C	Bacteria	0.78	0.57	1.01	1.15	1	0.59	0.77	0.45	0.61	1.09	0.7	0.45	0.61	1.09	0.7	0.25	0.19	0.61	0.77	0.42	0.52	0.06	0.43	0.98	8.73	3.29	3.8	97.44	116
K_Offshore_40m_m1_268	Actinobacteria acSTL	Bacteria	1.29	1.06	1.12	1.57	0.97	1.11	0.87	0.27	0.73	0.88	0.92	0.27	0.73	0.88	0.92	0.99	0.53	1.13	1.26	1.07	1.26	2.17	0.87	1.87	10.79	4.31	9.64	94.14	61
K_Offshore_80m_m2_226	Actinobacteria acSTL	Bacteria	1.14	0.92	0.65	1.01	0.6	1	0.97	0.48	0.81	1.13	0.9	0.48	0.81	1.13	0.9	0.69	0.44	0.91	1.08	0.86	1.21	2.19	0.61	1.53	9.61	4.45	8.38	92.22	87
K_Offshore_40m_m2_150	Actinobacteria acSTL	Bacteria	0.57	0.44	0.71	0.91	0.64	0.36	0.34	0.09	0.28	0.33	0.25	0.09	0.28	0.33	0.25	0.15	0.12	0.43	0.49	0.37	0.5	0.08	0.28	0.55	4.92	1.22	2.71	90.27	346
M_surface_9_m2_101	Actinobacteria acTH1	Bacteria	3.39	2.89	2.33	3.82	2.56	2.63	3.28	2.11	2.61	3.6	2.77	2.11	2.61	3.6	2.77	1.06	0.66	2.49	2.86	2.03	2.91	1.2	1.48	3.31	31.99	12.81	16.27	64.36	141
M_surface_7_m2_239	Actinobacteria Iluma-A1	Bacteria	46.4	38.58	34.18	56.7	42.99	36.02	48.41	35.38	39.74	56.73	48.45	35.38	39.74	56.73	48.45	13.97	8.94	32.1	38.12	26.4	30.27	13.73	20.96	44.6	483.58	203.21	206.18	91.45	150
K_DeepCast_300m_m2_027	Actinobacteria Iluma-A1	Bacteria	12.12	10.93	8.83	15.06	11.41	10.86	12.69	10.06	10.3	14.89	13.78	10.06	10.3	14.89	13.78	33.23	27.47	18.33	16.62	18.32	20.7	67.84	15.34	26.08	130.93	109.74	183.24	91.28	278
M_DeepCast_50m_m2_117	Actinobacteria Iluma-A1	Bacteria	2.12	1.99	1.25	2.39	1.79	2.24	1.96	1.79	1.56	2.51	2.61	1.79	1.56	2.51	2.61	17.47	14.6	6.9	5.24	6.72	7.78	35.6	5.78	9.15	22.22	40.55	77.16	89.74	101
K_DeepCast_250m_m1_172	Aenigmarchaeota	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	2.06	2.36	1.45	0	1.77	3.06	0	0	10.99	76.07	156
M_surface_8_m2_185	Alphaproteobacteria non LD12	Bacteria	20.82	15.05	9.69	27.4	19.09	10.16	18.31	12.54	16.2	16.48	16.61	12.54	16.2	16.48	16.61	7.9	3.08	12.13	11.91	7.83	10.73	18.42	6.88	11.63	182.35	72.82	79.54	81.43	81
M_surface_10_m2_064	Alphaproteobacteria non LD12	Bacteria	2.49	1.54	1.76	3.87	2.93	4.07	6.87	7.64	5.8	6.25	14.33	7.64	5.8	6.25	14.33	1.58	0.98	1.74	2.01	1.01	1.63	0.02	3.12	4.08	57.54	36.58	13.61	88.53	27
M_surface_10_m2_180	Alphaproteobacteria non LD12	Bacteria	4.97	3.55	3.35	4.69	3.69	3.27	4.19	2.1	3.4	3.95	4.48	2.1	3.4	3.95	4.48	1.25	0.94	2.77	3.62	2.39	3.37	0.22	2.54	4.34	41.65	16.13	19.24	93.17	177
K_Offshore_40m_mx_105	Alphaproteobacteria non LD12	Bacteria	3.98	2.16	4.07	3.6	3.72	2.06	3.28	0.93	2.23	1.86	1.74	0.93	2.23	1.86	1.74	0.76	0.55	2.58	2.49	1.85	2.96	0.06	1.54	2	29.63	8.06	13.5	99	131
K_DeepCast_250m_m1_099	Alphaproteobacteria non LD12	Bacteria	2.69	1.33	3.96	3.7	3.39	1.42	2.43	1.06	2.04	1.85	1.62	1.06	2.04	1.85	1.62	0.55	0.4	1.68	2.12	1.38	2.15	0.08	1.1	1.86	25.49	7.53	10.37	89.84	543
K_DeepCast_35m_m2_067	Alphaproteobacteria non LD12	Bacteria	4.21	2.81	1.16	1.69	1.18	3.09	2.28	0.93	1.63	2.39	2.01	0.93	1.63	2.39	2.01	1.47	1.3	2.62	2.99	2.7	3.72	1.95	3.22	4.93	23.38	9.72	22.13	95.61	96
K_Offshore_surface_m2_020	Alphaproteobacteria non LD12	Bacteria	2.32	0.94	0.72	0.47	5.78	0.38	1.56	1.59	1.42	1.69	1.19	1.59	1.42	1.69	1.19	0.12	0.08	0.91	1.07	1.17	0.99	0.2	0.17	0.54	18.07	6.09	5.05	98.58	74
M_surface_9_m2_109	Alphaproteobacteria non LD12	Bacteria	2.35	1.21	0.96	1.14	0.85	1.9	2.11	1.01	1.41	1.92	2.07	1.01	1.41	1.92	2.07	1.01	0.8	1.46	1.67	1.34	2.06	0.76	1.53	2.87	16.93	8.23	11.69	95.98	59
K_DeepCast_35m_m2_271	Alphaproteobacteria non LD12	Bacteria	2.13	1.43	1.26	1.39	1.13	1.45	1.28	0.47	0.94	1.26	1.16	0.47	0.94	1.26	1.16	0.66	0.51	1.18	1.48	1.28	1.87	0.19	1.7	2.74	13.89	5	10.43	96.09	712
M_surface_10_m2_100	Alphaproteobacteria non LD12	Bacteria	1.08	0.33	0.06	0.16	1.45	1.95	2.9	0.2	0.73	1.13	0.13	0.2	0.73	1.13	0.13	0.91	0.36	0.34	0.45	0.27	0.26	0.3	0.58	3.29	10.12	3.47	5.5	83.02	15
K_Offshore_surface_m1_194	Alphaproteobacteria non LD12	Bacteria	1.25	0.65	1.07	1.15	1.05	0.83	0.79	0.39	0.56	0.77	0.87	0.39	0.56	0.77	0.87	0.38	0.27	0.66	0.8	0.62	0.93	0.08	0.82	1.38	9.36	3.23	5.3	96.16	692
K_Offshore_40m_mx_120	Alphaproteobacteria non LD12	Bacteria	1.1	0.63	0.95	1	0.96	0.52	0.69	0.36	0.63	0.63	0.55	0.36	0.63	0.63	0.55	0.21	0.15	0.67	0.8	0.51	0.78	0.09	0.43	0.68	8.04	2.53	3.96	99.97	196
K_Offshore_surface_mx_080	Alphaproteobacteria non LD12	Bacteria	0.98	0.24	0.06	0.13	1.14	0.94	1.03	0.11	0.62	1.23	0.14	0.11	0.62	1.23	0.14	0.24	0.1	0.79	0.98	0.34	0.26	0.13	0.33	0.89	6.62	2.45	3.72	64.1	35
K_DeepCast_35m_m1_027	Alphaproteobacteria non LD12	Bacteria	2.53	1.79	0.15	0.26	0.31	0.15	0.23	0.42	0.18	0.19	0.25	0.42	0.18	0.19	0.25	0.07	0.06	1.34	1.8	1.28	1.68	0.19	0.15	0.2	6.46	1.16	6.64	93.55	170
K_Offshore_40m_m2_131	Alphaproteobacteria non LD12	Bacteria	0.42	0.69	0.34	0.93	0.86	0.27	0.39	0.44	0.22	0.47	0.58	0.44	0.22	0.47	0.58	0.12	0.07	0.29	0.4	0.28	0.34	0.04	0.2	0.31	5.6	1.89	1.85	87.85	211
