MAG	Taxonomy	Domain	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_surface_10_m2_157	Cyanobacteria	Bacteria	7.734175	5.4308125	4.6890375	4.634575	3.8958625	19.1935375	2.827	19.7387875	11.705525	2.5415	29.9507	6.4111625	22.49085	11.9329625	5.797925	6.6578125	10.472375	4.1817	3.0843125	18.1032375	11.033875	14.81045	15.6979125	14.101975
M_DeepCast_200m_m1_110	Cyanobacteria	Bacteria	11.59957537	5.56776702	5.487452805	5.813639776	4.312178491	19.37245966	7.655180985	16.50943067	6.877268641	9.596325561	14.95865786	8.108087344	16.38981584	12.07791409	7.027330424	6.711528491	7.642803491	9.089319389	5.077524626	15.15622307	16.97616372	13.08341297	16.53583591	11.92017269
K_Offshore_40m_mx_205	Cyanobacteria	Bacteria	8.43952	5.44476	6.90892	6.22912	3.60324	27.39666	5.28418	15.4963	7.9432	0.57778	21.98018	1.09914	17.4494	9.9318	4.74488	3.7887	12.85272	3.64434	2.53862	20.2559	27.84646	9.44062	10.98018	17.93038
M_DeepCast_10m_m2_062	Cyanobacteria	Bacteria	6.922393538	3.782994462	3.750903077	4.145147692	2.804326769	14.05015477	2.970879385	13.04275508	3.798978769	1.761858462	10.73440462	2.409678462	8.262137846	10.45627415	4.727643692	6.397592615	8.894879692	3.688813231	2.482872615	16.39220123	8.874976923	15.89810769	25.23679138	11.71300123
M_surface_10_mx_133	Cyanobacteria	Bacteria	4.442494	3.067119667	2.7753475	2.894228667	2.912785333	8.506046167	2.5632955	9.691207833	4.794090167	1.093164	10.970985	1.940561833	14.57841583	4.156248833	1.883309333	3.052102	4.857973333	1.7082625	1.327349833	10.10431583	8.335824833	8.645875	8.8799505	8.0582355
M_surface_7_m1_222	Cyanobacteria	Bacteria	0.605462304	0.091823106	0.221265333	0.507854817	0.088425278	0.57127571	0.131459806	0.288415047	0.11749635	0.071478503	3.981862769	1.60994911	1.243116974	1.942779482	1.63205138	0.540063088	2.286124771	0.551066158	0.859646906	0.728775367	0.9735371	3.170317333	1.793388619	1.443109602
K_DeepCast_150m_m2_200	Nitrospirae	Bacteria	13.17028287	3.8168125	14.2886537	3.987781481	5.908533333	0.005247685	0.026383333	0.002211111	0.00129537	0.00831713	0.002859722	0.001100926	0.004236574	2.995922222	9.224488426	3.222863889	0.003641204	0.004466204	0.290671759	0.010225	0.009189352	0.018996759	0.007712963	0.009040278
K_DeepCast_250m_m1_045	Nitrospirae	Bacteria	4.033903934	95.06059705	15.73304492	79.36076623	133.1974252	0.005975082	0.018585902	0.000145574	0.000247213	0.005151148	0.000117705	0.00016459	0.000377377	1.165142623	57.00199672	117.8510315	0.00118918	0.002044262	0.323195738	0.001439016	0.000433115	0.001247541	0.000554426	0.000163934
K_Offshore_80m_m2_040	Nitrospirae	Bacteria	24.16290606	37.50287576	26.57789697	21.86206061	31.16053333	10.31791212	70.42330606	8.510551515	4.70809697	276.814603	10.20600909	321.2537	7.841927273	53.18162424	39.8424	65.91480909	35.27859394	157.1949727	71.1264303	6.72300303	6.660224242	2.614645455	17.50919091	10.81758182
M_DeepCast_65m_mx_150	Nitrospirae	Bacteria	12.59803824	5.998728431	6.409443137	4.077116667	4.739608824	4.52434951	11.10680098	6.09157598	3.810687255	13.7732799	4.595081863	10.72385686	4.775859314	9.148095588	5.857403922	6.021829902	3.372871078	9.91792598	48.629825	4.359144608	1.538930392	3.179929412	3.408231373	2.692044118
K_Offshore_80m_m2_121	Nitrospirae	Bacteria	90.36451753	68.98541856	49.67235567	28.75401134	48.84142887	1.287391753	204.4823443	0.66474433	0.243097938	338.4037825	0.813057732	196.9854969	0.548765979	67.07173093	45.88530412	56.73665361	6.248881443	284.5406495	312.2621866	0.55823299	0.669278351	0.184437113	0.909553608	0.915678351
M_DeepCast_50m_m2_151	Nitrospirae	Bacteria	27.60881446	49.26081566	29.68936747	21.48171084	35.34579157	2.052	143.7843277	0.350742169	0.076738554	285.2899771	0.68430241	197.6805928	0.349150602	46.88668434	33.24168313	50.90429277	9.361166265	227.4552759	90.53635783	0.356572289	0.899903614	0.066712048	1.526374699	0.619079518
M_DeepCast_65m_m2_186	Nitrospirae	Bacteria	4.097328894	1.570959799	1.69686407	0.76634799	1.355270854	0.147352764	2.454503769	0.155687186	0.100231156	3.372937437	0.134541206	1.85978392	0.120491709	1.842781407	1.181697739	1.260120101	0.137351256	2.362557789	12.03506281	0.084092462	0.07083995	0.067544724	0.09586608	0.073727638
M_DeepCast_65m_m2_155	Nitrospirae	Bacteria	6.235579775	3.840530337	2.94651573	1.601946067	2.777577528	0.090037079	10.34023596	0.069378652	0.034161798	14.22620112	0.082710112	6.962414607	0.065460674	3.885441573	2.498649438	2.943026966	0.215408989	10.55400562	24.54221573	0.053601124	0.047086517	0.039377528	0.060388764	0.057237079
M_DeepCast_200m_m2_046	Nitrospirae	Bacteria	1.567154986	5.137364957	5.733926211	11.09508832	9.28692792	0.001368376	0.004378917	0.000663248	0.000184046	0.001106268	0.000771225	0.000158974	0.000561538	0.331288034	16.4408188	5.876467521	4.00E-04	0.001825356	0.04292792	0.000974359	0.000988034	0.001476923	0.001748433	0.000238462
K_DeepCast_300m_m2_067	Nitrospirae	Bacteria	0.858389591	7.902160967	2.296685502	8.72922119	10.84742045	0.000881041	0.004028253	0	0	0.000784758	0	0	0	0.301184015	9.196802602	9.772767286	0	0.001384387	0.038052416	0.000107063	0.000639777	0.000553903	0	0
K_DeepCast_35m_m2_045	Unclassified	Bacteria	6.870472131	5.621711475	5.502857923	6.528250546	3.860248634	13.20710109	5.946320492	13.01120984	5.96695082	3.023636612	9.179907104	5.194385792	6.889080055	8.112388798	4.40762623	6.271480328	8.386835792	4.775869126	3.376337158	9.631645902	6.915594262	7.956307377	11.80185765	12.65362213
K_DeepCast_250m_m2_062	WOR-2 Omnitrophica	Bacteria	2.632946739	5.702676522	4.018984783	9.585976522	9.00382	0.001456522	0.007585	0	8.89E-05	0.004197826	0	0	0.000270435	0.792600217	11.1686137	9.32591413	0.000356304	0.001135217	0.110264783	0.000472826	0.000807174	0.000661522	4.35E-05	0.000153478
M_DeepCast_50m_m2_169	Pacearchaeota	Archaea	5.249360465	10.44787209	8.777181395	4.369211628	5.393839535	0.802462791	19.46697442	0.522195349	0.187018605	45.39421628	0.683325581	40.44821395	0.428748837	9.305160465	7.094527907	7.778981395	1.366665116	63.6269814	13.62282558	0.503716279	1.233116279	0.363213953	0.575965116	1.352488372
K_Offshore_80m_m2_097	Pacearchaeota	Archaea	0.939361538	2.096138462	1.441138462	0.934107692	1.201261538	0.177530769	5.340607692	0.112238462	0.169923077	71.20488462	0.853446154	44.39625385	0.448838462	2.157946154	1.736984615	2.165438462	0.336353846	14.25147692	2.790146154	0.094769231	0.399653846	0.080784615	0.176253846	0.448992308
K_DeepCast_100m_m1_149	Pacearchaeota	Archaea	33.14270875	3.5264075	12.79614125	3.52643	4.4228125	0.0074925	0.22694375	0.000335	0.00062625	0.3433675	0.0045875	0.18476125	0.00047625	6.03068375	5.00589375	2.47533	0.004715	0.296485	1.2208825	0.004205	0.01545	0.0231575	0.00159125	0.01007625
K_Offshore_120m_m2_023	Pacearchaeota	Archaea	1.3532	3.272703226	1.973145161	1.432277419	1.459090323	0.0372	15.93888387	0	0	20.41854516	0.014496774	2.823896774	0.000777419	4.683106452	3.339170968	4.010541935	0.132509677	26.88403548	6.842841935	0.002406452	0.007293548	0.007174194	0.00256129	0.001212903
M_DeepCast_400m_m2_082	Pacearchaeota	Archaea	0.773238571	14.47065	2.903305714	19.70198714	23.56032857	0.000908571	0.00757	0	0	0.002202857	0	0.000377143	0.00045	0.16504	14.61996571	26.55014143	0	0.00327	0.063297143	0.000978571	0.00065	0.004512857	0.000851429	0.000642857
M_DeepCast_400m_m2_303	Pacearchaeota	Archaea	1.860452308	6.980703077	5.890298462	7.887818462	10.33222154	0.001438462	0.018130769	0	0	0.008092308	0	0.002652308	0	0.476366154	11.81482154	11.94636615	0	0.004936923	0.131024615	0.007118462	0.001792308	0.017386154	0.002167692	0.002015385
